ZCTA,COUNTY,ZCTA_POP,AREA,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EP_LIMENG,EP_MINRTY,F_MINRTY,EP_CROWD,EP_POV,F_POV
73949,Sherman,3058,923.035185297974,0.4183,0.4988,0.53,0.68,0.5325,7.5,43.7,0,4.5,15.2,0
75001,Dallas,204379,66.892868800212,0.23522857142857143,0.08851428571428573,0.5537571428571428,0.3015428571428571,0.19814285714285715,6.471428571428571,55.871428571428574,0,2.9714285714285715,11.385714285714286,0
75002,Collin,1619397,899.5048896444519,0.16529230769230768,0.2512384615384616,0.32945384615384615,0.1999846153846154,0.1553076923076923,3.2,36.06923076923077,0,1.9,5.046153846153846,0
75006,Dallas,818314,319.508265268696,0.43882857142857146,0.23654285714285717,0.63125714285714285,0.42584285714285713,0.42341428571428574,11.685714285714285,63.66428571428571,0,7.4,12.114285714285714,0
75007,Denton,1777184,367.248001499496,0.2671842105263158,0.18021052631578946,0.5230052631578946,0.3368421052631579,0.2659157894736842,6.094736842105263,55.98947368421052,0,2.8473684210526318,8.421052631578947,0
75009,Collin,66018,649.220697514956,0.0939,0.22799999999999998,0.29569999999999996,0.2129333333333333,0.1307333333333333,3.433333333333333,27,0,2.2666666666666666,4.533333333333333,0
75010,Denton,565353,209.17491295752,0.12693333333333334,0.07142222222222222,0.41973333333333335,0.3602666666666667,0.1580222222222222,3.2777777777777777,49.87777777777778,0,2.3111111111111113,6.066666666666666,0
75013,Collin,275470,94.21115055772,0.1624,0.3427,0.36418,0.42576,0.26034,3.2600000000000002,40.08,0,3.08,6.38,0
75019,Dallas,655633,226.688004694756,0.09857272727272727,0.10993636363636364,0.3514090909090909,0.2697363636363636,0.1285,1.9,49.06363636363637,0,1.6363636363636365,4.745454545454545,0
75020,Grayson,415650,1799.3990697192203,0.4774,0.70806,0.17164,0.6413599999999999,0.51278,1.95,22.29,0,2.54,14.51,0
75021,Grayson,238680,1047.629132739424,0.5795875,0.6922375,0.21315,0.6466000000000001,0.5666875,1.8625,28.4125,0,2.975,16.4375,0
75022,Denton,742540,834.6009403548,0.06792000000000001,0.13496999999999998,0.15478,0.18686,0.07042,1.27,24.490000000000002,0,0.9799999999999999,3.8299999999999996,0
75023,Collin,707124,133.973531435592,0.2098833333333333,0.22055,0.41697500000000004,0.33390000000000003,0.22496666666666665,4.458333333333333,42.125,0,2.775,6.824999999999999,0
75024,Collin,673842,206.91948074992996,0.08800000000000001,0.07216153846153847,0.41190000000000004,0.2572076923076923,0.09296923076923078,3.2923076923076926,49.25384615384615,0,1.8384615384615384,4.246153846153846,0
75025,Collin,502362,87.909160122846,0.11843333333333332,0.1379222222222222,0.43256666666666665,0.15005555555555555,0.11446666666666666,3.8333333333333335,46.599999999999994,0,1.7666666666666666,4.611111111111111,0
75028,Denton,1192448,495.854823243648,0.0949875,0.1497125,0.18526875,0.15681875,0.08025,1.6937499999999999,28.6125,0,1.21875,3.425,0
75032,Rockwall,321276,585.65935538178,0.25045,0.2804,0.21273333333333333,0.30391666666666667,0.2226,2.6333333333333333,29.850000000000005,0,2.433333333333333,6.7,0
75034,Denton,2300760,1156.412555792,0.10583000000000001,0.16873,0.280635,0.191505,0.11122499999999999,2.125,38.230000000000004,0,2.2,4.025,0
75035,Collin,1294545,516.0481416282,0.09749333333333333,0.15192666666666668,0.32577333333333336,0.11705333333333333,0.08217333333333333,2.146666666666667,43.65333333333333,0,0.86,3.106666666666667,0
75038,Dallas,306576,69.720532357248,0.422125,0.259075,0.71695,0.625475,0.4876875,8.7375,83.2,0,9.3375,15.8,0
75039,Dallas,251160,99.4793347408,0.20825714285714286,0.030414285714285717,0.5506285714285714,0.45964285714285713,0.2181,3.9857142857142853,66.25714285714285,0,6.014285714285714,9.77142857142857,0.14285714285714285
75040,Dallas,1102920,306.851806959516,0.5694142857142858,0.3551714285714286,0.6995214285714286,0.4079357142857143,0.5115571428571429,11.992857142857144,69.4,0.07142857142857142,9.057142857142857,11.978571428571428,0
75041,Dallas,954309.9999999999,251.98785330482403,0.7003285714285715,0.5213214285714286,0.7463571428571428,0.4981785714285714,0.65895,15.264285714285714,74.22142857142856,0.07142857142857142,11.435714285714285,19.092857142857145,0.07142857142857142
75042,Dallas,725088,177.467671541496,0.7362666666666667,0.44024166666666664,0.7801416666666666,0.5291166666666667,0.6698333333333334,17.008333333333333,76.46666666666665,0.08333333333333333,12.25,20.45,0.08333333333333333
75043,Dallas,1001700,241.08881855786,0.4672714285714286,0.5603571428571429,0.5569214285714286,0.4274714285714286,0.48919999999999997,5.3428571428571425,64.67857142857143,0,5.721428571428571,11.428571428571429,0
75044,Dallas,1089410,291.477396748804,0.3176571428571429,0.28787142857142856,0.52825,0.26505,0.30005000000000004,7.3,53.9,0,2.335714285714286,7.678571428571429,0
75048,Dallas,575610,241.43129296237,0.26615714285714287,0.19095714285714285,0.44981428571428567,0.20584285714285716,0.20835714285714285,4.771428571428571,47.214285714285715,0,1.8857142857142857,4.8428571428571425,0
75050,Dallas,718757,406.97955058826,0.562123076923077,0.40509230769230775,0.6991846153846153,0.5102923076923077,0.5598153846153846,14.015384615384615,75.55384615384615,0,7.723076923076922,16.007692307692306,0
75051,Dallas,1348016,426.42677087344,0.7150062500000001,0.50338125,0.81965625,0.51229375,0.68075,17.6125,84.24375,0,10.25625,19.56875,0.125
75052,Dallas,1819808,573.686685259008,0.41581875,0.2923875,0.666275,0.26369375,0.35966875,7.01875,77.825,0,4.63125,9.081249999999999,0
