ZIP,attack_rate_mean,attack_rate_median,attack_rate_lower,attack_rate_upper
76527,0.45638846880907374,0.45179584120982985,0.2972235349716446,0.6295014177693762
76530,0.39587911247130836,0.39173680183626625,0.25554705432287683,0.5646710022953328
76537,0.5240443337484434,0.5224159402241595,0.38229763387297633,0.6767185554171856
76574,0.3652505800464037,0.3630035857414048,0.2539614532798987,0.49085108626871965
76578,0.5229972299168975,0.518005540166205,0.33700369344413666,0.7203139427516159
78602,0.3452185738539898,0.34382003395585736,0.24113582342954162,0.4637062818336163
78610,0.2978921617705177,0.291753392174944,0.19989329469108155,0.42784613357923856
78612,0.424936967381722,0.41334851601528066,0.2790809579782545,0.6063050984425508
78613,0.08871148670337539,0.08599595051729672,0.05451770414084298,0.13876206819921477
78615,0.47463232323232324,0.47373737373737373,0.27070707070707073,0.6829292929292927
78616,0.597866095890411,0.6047945205479452,0.45095890410958905,0.7121289954337898
78617,0.5898786313977588,0.5896300980082201,0.4584852636385991,0.717254189061018
78619,0.22733037897310512,0.22310513447432762,0.12315861858190709,0.3578850855745721
78620,0.11149444137822281,0.10931956161791374,0.0671745643775132,0.173239769770559
78621,0.4951342222222222,0.4952169312169312,0.3758740740740741,0.6072285714285713
78626,0.39410913424232347,0.3902283560580867,0.2833679747256402,0.517483510697262
78628,0.19917612246059296,0.1936778011722529,0.13784641210948614,0.2883585614294656
78633,0.11771214093905119,0.11367889982911547,0.06391590039873057,0.1852510375132232
78634,0.2168091747458028,0.21107235753133127,0.14518133719555448,0.3195901808938283
78640,0.366395810630827,0.36281632158857,0.2694355075847993,0.47906872156781344
78641,0.1369363509375926,0.13369689444499316,0.08897499753079452,0.20000070548728005
78642,0.37877388952630714,0.3822324209146042,0.24346213735453207,0.49180871988198654
78644,0.41134711559552534,0.4103695985961834,0.29894028295678876,0.5208653213423996
78645,0.1837426752703174,0.17823508894314616,0.0882368329264039,0.2908680676665504
78648,0.37464454064454067,0.37333654000320665,0.26598524931858264,0.4932058682058682
78650,0.2906520438683948,0.28215353938185445,0.14753240279162513,0.47260717846460615
78652,0.2613030018761726,0.2582551594746717,0.14332082551594746,0.3874296435272045
78653,0.5158422175732218,0.5169665271966527,0.3845397489539749,0.64393410041841
78655,0.3892608173076923,0.38521634615384615,0.18617788461538465,0.6250300480769231
78656,0.4589185997469422,0.45782370307886966,0.25299451708140025,0.6714466469843948
78659,0.3779965187119234,0.3788076588337685,0.24843342036553526,0.4913076588337685
78660,0.35043810391168173,0.348891579111042,0.2653946111641751,0.4510898176325551
78662,0.3432402659069326,0.3395061728395062,0.18421177587844254,0.509045584045584
78664,0.2857491301213128,0.28206796025202974,0.2058297545531488,0.3839832607128303
78665,0.23777495500341353,0.23392018536524814,0.1681879305707843,0.33370347766721137
78666,0.10751125249379592,0.10460561529852562,0.06785497056104325,0.16277279694418764
78669,0.1626770893017926,0.15351559302611117,0.06741630514856348,0.2906810182532536
78676,0.08722192019136675,0.0833423942589975,0.04185332173534848,0.15288409263890398
78681,0.14072100863701928,0.13801852527674957,0.09678761969309907,0.20454442764541297
78701,0.5762646787296898,0.5744091580502215,0.4359167282127031,0.7288012370753324
78702,0.3116999187235317,0.30649783975702616,0.2185845061385122,0.4346162895153356
78703,0.19325929049863558,0.18779459191267675,0.1096911436368147,0.3024423220044653
78704,0.30090534604227104,0.3019063406547866,0.22387070037297968,0.38071487774554497
78705,0.2696818142298218,0.2588755252861904,0.16538762498188667,0.4138907404723953
78717,0.1443409926166275,0.1385458398172367,0.07735489852001455,0.2594535311061815
78719,0.3435207395864339,0.3315911730545877,0.24840301974448317,0.5142276422764228
78721,0.42284266666666664,0.4195,0.29982291666666666,0.5645229166666667
78722,0.2621866986050444,0.25693955192334794,0.14328589544878118,0.4086304072143159
78723,0.4796250639822556,0.4796962975601433,0.3793728317124495,0.5776972075300005
78724,0.6335543926419284,0.6338407865524897,0.4961475182366001,0.7670611322549952
78725,0.50914684727883,0.5107288420043155,0.3613671781347399,0.6524964037401103
78726,0.2276219077870825,0.2198960438925787,0.13445711810568872,0.3696313408412744
78727,0.18981769570560297,0.18471221229532697,0.11677405426948753,0.2858821282672953
78728,0.4035248568266038,0.4004283170508687,0.2809832041965446,0.5362397131719524
78729,0.26631959237111213,0.26823183892997415,0.18198577545026717,0.35506439970277054
78730,0.2327985204972773,0.23399773964861811,0.11330525017980067,0.34605465940614405
78731,0.1663610658167803,0.1626704713904536,0.08107304328490958,0.2565705603320486
78732,0.12227841701601767,0.11824858231849028,0.07615506182021009,0.19404573765919853
78733,0.24255077574047954,0.23477903149976492,0.09990303244005641,0.4175129290079925
78734,0.2634948442924504,0.25978029949738324,0.15676330379812425,0.3715568164153583
78735,0.2855899558190258,0.28977685811755494,0.17183602706783738,0.39227811643644095
78736,0.1613120684087828,0.15701645451723067,0.08209407016454517,0.26149099658491143
78737,0.1566087980173482,0.14132589838909543,0.06505111524163569,0.3207156133828996
78738,0.2868800454086781,0.28181760847628656,0.16616895812310797,0.4273524217961655
78739,0.10582444208289055,0.10336521431101665,0.06219978746014877,0.16021076868579526
78741,0.49195149326187426,0.48770826051497146,0.37625101945706635,0.6266306458503242
78742,0.5458484848484848,0.5454545454545454,0.32386363636363635,0.75
78744,0.6150927109325868,0.6174507536567058,0.4830092508064025,0.7383918609133143
78745,0.2740419110798843,0.27120471887714254,0.20526788777961147,0.36122530677603304
78746,0.15388349719843536,0.146192338865983,0.07561757761567467,0.27838037847552594
78747,0.4043244816471833,0.40251118487516235,0.28471640929427044,0.5373153894260836
78748,0.2647375959079284,0.2605449537674601,0.18448799921306316,0.3705479047806413
78749,0.13702650856928686,0.13349688234692836,0.0865421309073563,0.20577873181369039
78750,0.15310858762820923,0.14626998789577628,0.08192329744537173,0.25993900108300944
78751,0.2435548339792605,0.23965643657693517,0.14087671519849168,0.36605740023043876
78752,0.5707469318457434,0.5713073005093379,0.44918020858598107,0.7059932088285229
78753,0.6194495105788961,0.6200259006357429,0.5260898449325575,0.7134969221971812
78754,0.44952980286045613,0.4508117510630073,0.3190635871666022,0.5796327792810205
78756,0.28483572264482154,0.28218256290228205,0.15648771211234638,0.4247293739028671
78757,0.15168015954505965,0.1440841955611721,0.08031948503277782,0.2640204170286707
78758,0.551561538940422,0.5516922949220777,0.4421714499159559,0.6639923011475647
78759,0.1307250579714294,0.12820989951618905,0.08788039277432654,0.18920228450373594
78953,0.31601714285714283,0.31047619047619046,0.139,0.5315714285714285
78957,0.29392203992057686,0.29229804577280805,0.16981137004911692,0.41342878043682724
