GEOID,estimate,dem_share
77614,265,NA
75601,15719,0.307
77546,53623,0.327
75780,216,NA
77640,15706,0.719
75165,45059,0.342
79928,57219,0.656
77655,213,0.2
77873,1200,0.138
75703,42777,0.26
79754,98,0.062
79029,15584,0.23
77837,1922,0.417
77665,6152,0.136
75849,67,NA
78017,6074,0.406
78725,8469,0.857
79756,9565,0.188
79766,7694,0.357
77853,1059,0.25
78932,565,0.141
78941,2709,0.23
77807,11564,0.453
75051,40923,0.644
75232,31453,0.933
75233,17280,0.857
75220,42009,0.643
78008,461,0.191
77857,792,0.211
75230,27489,0.53
79770,0,NA
79785,121,NA
75832,107,NA
78942,9033,0.219
78953,701,0.248
78959,2097,0.434
79009,1754,0.329
75757,12802,0.166
78023,31357,0.472
78026,6452,0.251
75235,18429,0.822
78010,3493,0.173
78011,1688,0.31
78016,11632,0.296
78572,80601,0.55
78573,38826,0.57
78574,62616,0.564
78596,67269,0.588
77988,559,NA
77994,354,NA
78002,6833,0.475
78004,1118,NA
78015,15811,0.306
75693,7076,NA
78827,1173,NA
78829,1448,0.661
77951,1809,0.459
75166,4395,0.307
77960,65,0.101
77970,429,0.148
77971,792,0.121
77975,1609,0.111
78592,676,NA
78594,1555,NA
78595,5959,0.547
78027,381,0.19
78836,228,0.508
78850,1109,0.268
75756,4450,0.126
75704,10199,0.308
77663,1014,0.143
77703,13823,0.901
78735,18122,0.618
78802,21,NA
75764,187,NA
78749,38041,0.742
78756,8694,0.884
78757,25706,0.851
78758,48993,0.785
78938,303,NA
78943,311,NA
79906,5295,0.477
77977,544,NA
77982,884,NA
78550,52644,0.524
78552,37948,0.494
79912,78267,0.634
79922,7932,0.541
79924,59648,0.642
79930,28277,0.707
79932,28243,0.614
78705,34549,0.856
78721,12110,0.918
78722,7180,0.948
78726,14040,0.665
78727,30561,0.751
75770,2925,0.22
79758,2403,0.073
79763,38833,0.312
78569,4101,0.578
78570,33949,0.628
79003,185,0.092
77802,25621,0.368
77830,3101,0.158
79021,183,NA
77855,224,NA
79935,17850,0.657
79936,111620,0.7
78577,78103,0.616
78579,5836,0.626
78732,17780,0.528
78046,70989,0.634
78050,584,NA
78548,627,NA
78739,21040,0.681
78745,61907,0.819
78746,28608,0.63
78747,21021,0.732
79764,22172,0.222
79835,11184,0.622
79836,5891,NA
79849,12157,0.728
79902,20496,0.753
79903,15995,0.75
78583,7137,0.446
75709,4731,0.41
77867,106,NA
77901,43052,0.475
78608,470,NA
78108,39999,0.464
78109,39769,0.611
79256,290,0.062
79311,3415,0.182
75034,108525,0.465
78610,38525,0.569
78112,8617,0.452
79220,208,0.11
78113,3558,0.191
79312,978,0.315
79330,139,0.142
79225,1069,0.155
75789,7806,0.184
79046,712,0.116
79062,180,NA
78066,521,NA
76001,33748,0.531
75778,2947,0.146
79229,411,0.095
79347,7202,0.206
79233,145,0.164
79072,26629,0.26
79086,2228,0.103
76364,174,0.22
78075,248,0.081
78101,6465,0.325
78104,136,0.198
75074,52259,0.605
76135,21973,0.36
76179,65496,0.37
79241,2270,0.152
75057,14960,0.651
79098,484,0.132
79255,664,0.111
79087,629,0.09
79095,2657,0.14
79118,23381,0.189
78597,2818,0.404
78598,87,0.191
79032,98,NA
76132,27243,0.512
78116,313,0.037
78143,226,NA
78144,29,NA
75853,466,0.067
75216,53327,0.939
75224,37592,0.832
75237,21423,0.933
75937,891,0.181
79039,965,0.078
79058,0,NA
79041,2754,0.167
79043,1514,0.385
78124,6913,0.33
79061,375,0.011
79063,768,NA
76140,30723,0.757
78154,41272,0.453
75850,796,0.112
79091,77,NA
79097,863,0.099
78140,3486,0.267
79106,27268,0.261
79110,19158,0.232
79240,81,NA
79247,64,NA
76164,15488,0.774
75241,31562,0.949
79034,535,0.086
76180,37524,0.391
75240,28534,0.638
75228,73976,0.733
75038,29990,0.672
75234,37160,0.606
75860,6516,0.199
79313,1528,0.223
79324,42,NA
79326,59,NA
76205,21326,0.639
76208,24621,0.435
78123,2177,NA
76117,31068,0.436
76120,18125,0.705
76226,26761,0.283
75931,2203,0.128
76502,42103,0.348
76511,2505,0.315
77878,317,NA
76270,1958,0.115
76271,1792,0.156
76448,5196,0.121
76245,1569,NA
75401,19146,0.403
76667,11098,0.339
75088,26039,0.444
75410,4954,0.121
79762,43812,0.217
79789,824,0.08
76249,8317,0.262
75402,18087,0.243
76527,2969,0.238
76631,692,0.138
76486,1125,NA
75069,37892,0.437
76636,1525,0.142
76641,1575,0.208
76650,186,NA
76354,12114,0.19
76357,569,0.146
76530,1874,0.28
75413,282,NA
75081,40265,0.623
76501,16710,0.473
76012,25719,0.5
78719,1709,0.838
78737,17173,0.529
79024,380,0.118
75424,3024,0.152
76374,3858,0.153
76009,20417,0.211
75422,3088,0.154
76654,139,NA
75977,291,0.393
76233,3294,0.135
75065,12640,0.358
75070,104415,0.46
76244,77496,0.431
76247,13601,0.264
76250,1157,NA
76454,1870,0.104
75451,1163,NA
75420,1052,0.132
76436,227,0.132
75244,13254,0.558
75247,792,0.811
75423,3110,0.147
76459,270,NA
76460,233,0.03
76263,46,NA
75067,68196,0.584
76472,1761,0.109
76476,2628,0.126
75418,14571,0.206
76309,12991,0.364
76462,3762,0.111
75439,1035,NA
76469,93,NA
75249,17649,0.8
75252,26867,0.54
76519,487,0.106
75068,65991,0.517
76463,412,0.136
76471,1785,0.098
75253,23900,0.672
75435,944,0.081
75414,3416,0.135
75447,1256,0.147
75416,3070,0.089
76432,1314,0.099
76435,512,NA
75452,4650,0.157
75442,9308,0.197
76251,779,NA
76655,8312,0.188
76656,2446,0.181
77611,8578,0.117
75457,6501,0.169
78885,115,NA
76023,6909,0.145
76664,3688,0.275
76637,540,NA
76649,596,0.113
76063,73216,0.451
79011,206,0.145
77973,27,NA
79054,676,NA
76028,70507,0.262
75056,60554,0.481
75090,25418,0.298
75092,24905,0.317
76651,3250,0.246
76571,8630,0.212
76065,37090,0.272
78369,416,0.428
77380,25761,0.407
76043,7440,0.16
77984,3972,0.13
79094,14,0.14
79234,26,0.053
78151,1662,0.279
75454,10467,0.339
76652,1349,0.199
76577,3187,0.19
76627,1511,0.126
76632,1613,0.282
76044,4401,0.131
75858,0,NA
76054,12280,0.344
76070,895,0.149
76238,324,0.146
76537,5782,0.341
76549,52012,0.648
76556,1494,0.139
76261,285,0.053
79322,2022,0.271
76363,534,0.175
76370,232,0.072
76543,30268,0.617
76548,30510,0.508
76578,1482,NA
77708,12536,0.783
78549,1010,0.541
78562,4341,0.574
75058,2666,0.175
78141,524,0.169
76557,5331,0.175
76579,5223,0.166
76058,19904,0.199
76621,867,0.142
76066,2621,0.131
76071,4589,NA
75173,4409,0.212
79033,47,NA
76209,25689,0.629
79111,2108,NA
76036,27056,0.521
76013,34203,0.47
75459,5156,0.166
75683,3709,0.179
79250,1401,0.266
76014,35096,0.667
78025,4918,NA
79904,33428,0.679
76015,16961,0.531
75048,25598,0.427
76059,5601,NA
75936,1128,0.081
79927,40747,0.735
77991,397,NA
75208,29706,0.799
76048,24822,0.202
75965,17907,0.413
76306,14980,0.419
76022,13495,0.464
76040,31519,0.57
76539,8608,0.233
76541,17691,0.605
76064,1818,0.159
75411,889,0.099
76888,151,0.105
77033,30558,0.944
77083,78298,0.642
78161,651,NA
75656,4331,0.168
78633,25853,0.338
77012,19597,0.724
79373,2924,0.185
79532,826,0.15
77459,72788,0.591
77432,47,NA
78390,5059,0.408
77534,2256,NA
77032,14535,0.771
77039,28877,0.68
77047,32616,0.898
77061,26253,0.685
77072,61122,0.594
79545,1774,0.186
79567,3432,0.136
75968,1635,0.135
77080,45586,0.536
75114,6829,0.232
77346,66805,0.441
79412,16554,0.506
75236,18137,0.793
77978,696,0.209
79070,9851,0.097
76882,214,NA
76266,16112,0.218
76673,1706,0.166
76691,6333,0.166
76707,15688,0.71
79706,25657,0.158
77565,8650,0.316
76823,3024,0.102
76561,1030,0.168
76077,355,NA
76857,1761,0.089
77302,18658,0.193
78376,544,0.437
77591,14936,0.75
78406,2027,0.66
75681,2128,0.17
78670,112,NA
78704,48746,0.857
77450,73692,0.416
77481,35,NA
76103,15486,0.654
78207,55484,0.783
78233,50103,0.55
77502,38199,0.528
75093,46788,0.492
78009,8466,0.262
77406,49261,0.425
77365,36755,0.297
77533,938,0.063
77616,511,0.086
78114,24009,0.301
76824,9,NA
75750,3766,NA
77407,60000,0.67
77034,40635,0.607
76629,1668,0.225
77468,39,0.44
78418,30312,0.309
78122,274,NA
78560,4847,0.568
78591,249,NA
77077,59588,0.589
75104,49171,0.765
79042,1200,0.068
77008,34895,0.649
76116,50506,0.507
75149,56473,0.587
78830,966,0.557
79783,321,0.07
79064,2495,0.16
75468,939,0.096
76626,1386,0.116
77441,12559,0.314
75102,1358,0.109
78593,5895,0.63
79821,7136,0.677
75063,40048,0.667
79401,7912,0.631
75164,633,NA
78228,62359,0.737
77803,32946,0.662
76859,2015,0.204
77044,48783,0.623
76182,31046,0.336
76870,270,NA
77581,48438,0.361
77571,37427,0.309
78585,356,NA
75706,10449,0.309
79561,615,0.145
75127,1705,0.114
79741,222,0.113
78843,689,NA
78944,524,NA
77538,1042,0.155
79403,17926,0.556
79345,990,0.213
