ZIP,attack_rate_mean,attack_rate_median,attack_rate_lower,attack_rate_upper
76527,0.27903260869565216,0.27504725897920607,0.17531899810964083,0.4112358223062381
76530,0.2307742922723795,0.22800306044376434,0.13921193573068094,0.3489097169089518
76537,0.31309788293897883,0.3108343711083437,0.20270859277708594,0.43290161892901613
76574,0.2603487660831048,0.2604672010124446,0.15611157983547774,0.3609061906770723
76578,0.3408559556786704,0.3361034164358264,0.19939981532779316,0.4958679593721144
78602,0.27331517826825125,0.273276740237691,0.17373853989813243,0.37129286926994903
78610,0.2717594256356211,0.27046502437096565,0.1578665524963773,0.3787313924384139
78612,0.3442356009403468,0.3463488098736409,0.18556604466647075,0.4964057449309433
78613,0.0867578211807699,0.07939702214869504,0.03997475246302378,0.1770540630632855
78615,0.3434646464646465,0.3414141414141414,0.18762626262626264,0.5253030303030303
78616,0.4940739726027397,0.5006849315068493,0.3712100456621004,0.5936215753424656
78617,0.43345111883935783,0.4394913408508097,0.3040406435521832,0.5392691537569818
78619,0.12475305623471883,0.12102689486552567,0.06599174816625916,0.2066091075794621
78620,0.0660354805645352,0.06268233067886148,0.039184341244185135,0.1095285027201766
78621,0.3840752592592593,0.38903703703703707,0.2770783068783069,0.46604761904761904
78626,0.29313790045449506,0.28975446181132913,0.18985907881609576,0.40614884713446403
78628,0.13737435270016501,0.12783816081488647,0.07849399647186024,0.2514276162294428
78633,0.09286963951501342,0.08851411831719425,0.0425939864919847,0.16024696883391648
78634,0.16040139512887208,0.1478925277843462,0.08680686923622606,0.30257152991250885
78640,0.3197651047342293,0.32509124245411936,0.21892307958417656,0.40048475256430216
78641,0.12248530469995626,0.11331536692393436,0.06351784177331282,0.2260624638437769
78642,0.31997844615636784,0.32465989182101296,0.20059006720209802,0.41240165546631696
78644,0.3024918841851283,0.30711230533011624,0.19721978504057908,0.38086477297652993
78645,0.15868126821761405,0.15704569236135332,0.06380362748517614,0.2578610045343565
78648,0.21396360429693764,0.21003687670354337,0.13636363636363635,0.31329164662497994
78650,0.16402193419740776,0.15653040877367896,0.06979062811565304,0.30216849451645056
78652,0.1847068314977828,0.18461538461538463,0.09924953095684803,0.2711444652908067
78653,0.42221707112970713,0.4304393305439331,0.29790167364016734,0.5085878661087865
78655,0.18967067307692306,0.1814903846153846,0.08774038461538461,0.35108173076923066
78656,0.3293998312948123,0.33129481231547875,0.14760649514972587,0.4977330240404892
78659,0.32474238468233246,0.3307223672758921,0.21365317667536987,0.4212467362924282
78660,0.27064639374486327,0.2666263133343699,0.18045436371309892,0.3811504586952175
78662,0.24282716049382716,0.23646723646723647,0.1196343779677113,0.4036087369420703
78664,0.21404220870819096,0.20714084197987526,0.13388138302874517,0.32680558603178583
78665,0.18221565260566439,0.17360407141527195,0.10811438442600906,0.2975996648530111
78666,0.06795523332197946,0.06368911488492043,0.038817454138484746,0.11690854459637
78669,0.16054894216472346,0.15805844315298354,0.049508881067365146,0.27094212981910454
78676,0.060722409481352616,0.05686636946830488,0.026530390344677614,0.11364031749483525
78681,0.10533514067740646,0.09810924004657387,0.05769554941521993,0.19109622369358567
78701,0.30493408419497786,0.3001754062038405,0.22017863737075333,0.41811069054652866
78702,0.2025080207041109,0.1985498566967532,0.125974248192668,0.2902906703169782
78703,0.15533241005828452,0.1547506822128504,0.06759861076655917,0.24365169933019096
78704,0.20073684210526316,0.20285951098217986,0.14326150020721093,0.2529480936593452
78705,0.1543461527314882,0.15042747427908998,0.0991015794812346,0.2343522677872772
78717,0.15051852464986923,0.13697314836274543,0.051479157699566264,0.30613929079892727
78719,0.2580332946186605,0.24854819976771197,0.21951219512195122,0.34474448315911727
78721,0.281887,0.279125,0.17238958333333332,0.40525208333333335
78722,0.1707208679723827,0.1724672396787375,0.09144356770466394,0.24800972241792305
78723,0.3426104191548655,0.34267474264914977,0.2807079281123813,0.40385955183984523
78724,0.5306055740564541,0.5413891531874405,0.4041557643514114,0.6129291547732318
78725,0.39340745624550466,0.4017621673459602,0.25126768161112445,0.4911442100215776
78726,0.11286212087026311,0.10896140148233709,0.06635864857060353,0.17991144479738186
78727,0.13917991298282906,0.13223620844265832,0.06959463947656848,0.23617855126374174
78728,0.27076250060156887,0.2734732181529429,0.1597093219115453,0.3692802829780066
78729,0.20869986907752733,0.21343901489685432,0.13509253034216764,0.2651171225363575
78730,0.20321329497585533,0.21000719202712423,0.09462139114353232,0.295402239802733
78731,0.16222717165727837,0.16717313963830416,0.07064556774384821,0.22811017640083012
78732,0.07801882093428683,0.07390536394905643,0.06126243376406061,0.11570605187319884
78733,0.20738728255759287,0.20116361071932298,0.06310825105782793,0.3688675364362952
78734,0.21701860200010364,0.22001139955438104,0.11528447069796362,0.30022280947199337
