date,ZCTA,PO_NAME,county,county_fips,tsa,msa,state,total_pop,adult_pop,adult_pop_65plus,senior_frac,under16_pop,doses_administered,one_dose,fully_vaccinated,coverage_one_dose_16plus,coverage_one_dose_total_pop,hosp_deaths_total,hosp_deaths_total_per_100k,admits_last_14days,admits_last_14days_per_100k,phase_1a_total,phase_1b_total,phase_1c_total,phase_2_total,median_household_income,SVI,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
2021-06-16,78731,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,27298,22409,4772,0.2129501539559998,4889,36951,20644,17774,0.9211958946898706,0.7562181764899814,4,14.653088138325149,0,0,1906,9219,3513,12658,94851,0.09827777777777778,0.08251111111111112,0.15697777777777777,0.14465555555555556,0.29985555555555554
2021-06-16,78732,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,17780,12834,1975,0.15388810970858657,4946,20471,11620,9609,0.905336969224776,0.6535065519374613,5,28.1214848143982,1,5.62429696287964,1142,4590,2125,9921,167604,0.0838,0.0149,0.20454999999999998,0.19205,0.21545
2021-06-16,78733,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,8927,6531,1077,0.1649058337161231,2396,10895,6123,5155,0.937385180649112,0.6858198924731183,1,11.20197154699227,0,0,584,2565,1315,4461,184500,0.088325,0.074725,0.17382499999999998,0.14334999999999998,0.2255
2021-06-16,78734,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,19452,15597,3710,0.23786625633134578,3855,24335,13893,11735,0.890691114245416,0.7141829023800956,15,77.11289327575571,1,5.140859551717047,1331,7429,2762,7928,117604,0.11758333333333333,0.11241666666666666,0.2710333333333333,0.12726666666666667,0.22503333333333334
2021-06-16,78735,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,18122,14117,2437,0.172628745484168,4005,22851,12869,10872,0.9115313783822071,0.7100921480991006,6,33.10892837435161,2,11.036309458117206,1231,5623,2186,9080,98906,0.19745000000000001,0.1233875,0.1522,0.2183,0.5236125
2021-06-16,78736,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,10163,8181,1308,0.1598826549321599,1982,10406,5832,5050,0.7127841603519922,0.5737898465171193,2,19.67922857423989,0,0,725,3273,1456,4707,103287,0.08035,0.027549999999999998,0.10250000000000001,0.054900000000000004,0.37185
2021-06-16,78737,Austin,Hays,48209,O,"Austin-Round Rock-Georgetown, TX",Texas,17173,12333,2344,0.19005919078894024,4840,22917,12961,10935,1.0508350899951353,0.754687318038896,3,17.4692831770803,1,5.8230943923601,425,5669,1981,9096,142411,0.0776,0.06275,0.17526666666666668,0.16103333333333333,0.1824
2021-06-16,78738,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,15986,12303,2347,0.1907664797203934,3683,32145,18340,15342,1.4905721716514955,1.1471820854444237,4,25.021894157387713,2,12.510947078693858,1073,5064,2153,7695,129907,0.09985,0.09893333333333333,0.19161666666666666,0.16363333333333333,0.21336666666666668
2021-06-16,78739,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,21040,14968,2290,0.15299305184393372,6072,26423,14693,12605,0.9815618945821364,0.6983033125802005,3,14.258555133079849,3,14.258555133079849,1332,5508,2626,11572,162274,0.04185,0.045725,0.15535000000000002,0.23725,0.085725
2021-06-16,78741,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,52114,43977,2290,0.05207267435250244,8137,40562,23418,18633,0.5324935194870163,0.4493523937446033,20,38.37740338488698,8,15.35096135395479,4007,13092,4634,30379,45835,0.5987846153846154,0.6130538461538462,0.27063076923076923,0.7210000000000001,0.7517076923076923
2021-06-16,78742,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,887,666,123,0.18468468468468469,221,638,364,292,0.545727136431784,0.4099099099099099,1,112.73957158962796,1,112.73957158962796,56,341,58,429,52917,0.638,0.56825,0.52615,0.84965,0.5381
2021-06-16,78744,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,50123,37069,2569,0.06930319134586851,13054,41005,23500,18838,0.6339357971405449,0.4688372835368287,42,83.79386708696606,8,15.960736587993535,3391,13326,4478,28926,52345,0.6143076923076923,0.5879692307692308,0.43033846153846156,0.7475076923076924,0.5960538461538462
2021-06-16,78745,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,61907,52678,6843,0.1299024260602149,9229,63654,35878,30405,0.6810683574099736,0.5795373780448407,42,67.8437010354241,3,4.845978645387436,4672,19574,7295,30364,64626,0.3777625,0.35260625,0.16568125,0.50031875,0.60071875
2021-06-16,78746,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,28608,22436,4408,0.19646995899447317,6172,37136,20992,17490,0.9355974506395686,0.7337551120276836,1,3.495525727069351,1,3.495525727069351,1949,9189,4024,13444,151801,0.08978749999999999,0.08047499999999999,0.1868125,0.1504625,0.2354
2021-06-16,78747,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,21021,16614,2489,0.14981341037679066,4407,20901,11835,9865,0.7123081552813723,0.5629816382837027,10,47.571476142904714,2,9.514295228580943,1460,6491,2229,10838,82811,0.4733333333333334,0.4352666666666667,0.2566333333333333,0.6925166666666667,0.5326833333333333
2021-06-16,78748,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,51653,41411,4740,0.11446234092390911,10242,56908,31944,27146,0.7713706172124022,0.6184225810198629,20,38.71991946256752,1,1.935995973128376,3717,14257,6089,27588,76909,0.23818999999999999,0.18334,0.15858,0.39374,0.44684999999999997
2021-06-16,78749,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,38041,30657,4059,0.13240043057050593,7384,42269,23551,20210,0.7681844869202166,0.6190789127806109,6,15.772456034278806,4,10.514970689519203,2738,10552,5191,19558,105734,0.1056,0.1357142857142857,0.06302857142857142,0.2619714285714286,0.2982571428571429
2021-06-16,78750,Austin,Williamson,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,31734,25148,4550,0.18092890090663274,6586,33039,18584,15534,0.7389558232931727,0.5855994958247991,7,22.058360118484902,0,0,2188,10545,3757,15241,102130,0.21776,0.22552,0.26234,0.35238,0.27826
2021-06-16,78751,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,16197,14824,911,0.0614543982730707,1373,22533,12448,10883,0.8396627318718382,0.7684899370292628,1,6.173982836327716,2,12.34796567265543,1344,3617,1676,9557,64340,0.24367142857142857,0.2954714285714286,0.032214285714285716,0.30465714285714285,0.6232714285714286
2021-06-16,78752,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,20881,17100,1555,0.09093567251461988,3781,17224,9917,7965,0.5799076077422373,0.4749066181400249,19,90.99181073703366,5,23.945213351850963,1539,6082,1805,11453,48454,0.49582857142857145,0.49497142857142856,0.22982857142857144,0.5727428571428571,0.6823285714285714
2021-06-16,78753,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,60426,46823,4387,0.0936932704012985,13603,42243,24567,19359,0.5246668375192209,0.4065566716864978,35,57.922086519048094,7,11.584417303809618,4229,16944,5842,33410,51053,0.5610375,0.49398749999999997,0.32046875,0.72196875,0.6587125
2021-06-16,78754,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,26433,19521,1497,0.07668664515137544,6912,26102,14900,12306,0.7632414711607417,0.5636680033290459,9,34.04834865509022,4,15.132599402262322,1783,6272,2686,15691,72752,0.5986428571428571,0.5008857142857143,0.3823,0.7684857142857142,0.6827571428571428
2021-06-16,78756,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,8694,7582,812,0.10709575309944605,1112,11111,6137,5312,0.8093102993538177,0.7058079355951696,1,11.502185415228894,0,0,676,2404,1086,4526,82535,0.14598333333333333,0.14393333333333333,0.07236666666666666,0.12853333333333333,0.5527166666666666
2021-06-16,78757,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,25706,20625,2799,0.13570909090909092,5081,30039,16540,14387,0.8019005139144769,0.6434045201696036,8,31.121139033688632,2,7.780284758422158,1830,7903,2865,13105,76716,0.21093333333333333,0.19458333333333333,0.14686666666666667,0.21748333333333336,0.48918333333333336
2021-06-16,78758,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,48993,39339,3582,0.09105467856325783,9654,43474,25046,20300,0.6366548042704626,0.511205453729028,27,55.109913661135266,9,18.36997122037842,3558,13457,5246,26730,55074,0.4248733333333333,0.37631333333333333,0.18676,0.5376933333333334,0.6470733333333334
2021-06-16,78759,Austin,Travis,48453,O,"Austin-Round Rock-Georgetown, TX",Texas,43298,36407,6320,0.1735929903589969,6891,52196,29140,24824,0.8003735442759833,0.672994757384697,10,23.095755000230955,3,6.9287265000692875,3164,13782,5805,20545,85555,0.10907368421052632,0.11804210526315789,0.11526315789473685,0.2111842105263158,0.2851578947368421
